rank,fold,test_n,test_pos,prevalence,model,seed,auroc,ap,repeat_seed
Genus,3,5500,320,0.05818181818181818,tiny_mlp,7,0.8900452461389962,0.37762014600012705,42
Genus,3,5500,320,0.05818181818181818,tiny_mlp,13,0.8996157094594596,0.3850660252023114,42
Genus,3,5500,320,0.05818181818181818,tiny_mlp,21,0.8872653233590735,0.35860769403752285,42
Genus,4,5306,310,0.058424425179042595,tiny_mlp,42,0.877243084790413,0.38217785989391045,42
Genus,4,5306,310,0.058424425179042595,tiny_mlp,123,0.8749819210206876,0.3789904024084767,42
Genus,4,5306,310,0.058424425179042595,tiny_mlp,7,0.8539870606162349,0.2767901736108074,42
Genus,4,5306,310,0.058424425179042595,tiny_mlp,13,0.8639892559208657,0.33692648075937504,42
Genus,4,5306,310,0.058424425179042595,tiny_mlp,21,0.8699495079934916,0.35225305869498436,42
Family,0,5471,320,0.058490221166148784,tiny_mlp,42,0.9666339060376626,0.6943566392756203,42
Family,0,5471,320,0.058490221166148784,tiny_mlp,123,0.9658373374102116,0.7204167703186762,42
Family,0,5471,320,0.058490221166148784,tiny_mlp,7,0.9661540234905843,0.7138624598241592,42
Family,0,5471,320,0.058490221166148784,tiny_mlp,13,0.9694118860415453,0.7605322523319544,42
Family,0,5471,320,0.058490221166148784,tiny_mlp,21,0.9622227480100951,0.6724528561555071,42
Family,1,5476,320,0.05843681519357195,tiny_mlp,42,0.9419529431730024,0.4139784910590287,42
Family,1,5476,320,0.05843681519357195,tiny_mlp,123,0.9415195888285492,0.40987210334192564,42
Family,1,5476,320,0.05843681519357195,tiny_mlp,7,0.9408850126066719,0.41174806943271425,42
Family,1,5476,320,0.05843681519357195,tiny_mlp,13,0.9441130479053531,0.40302066517030377,42
Family,1,5476,320,0.05843681519357195,tiny_mlp,21,0.9461816330488749,0.4586632371936014,42
Family,2,5495,320,0.05823475887170155,tiny_mlp,42,0.9824541062801931,0.8681979356766928,42
Family,2,5495,320,0.05823475887170155,tiny_mlp,123,0.9801992753623189,0.8463779309612761,42
Family,2,5495,320,0.05823475887170155,tiny_mlp,7,0.9826201690821256,0.8647251992694585,42
Family,2,5495,320,0.05823475887170155,tiny_mlp,13,0.9825582729468598,0.864902062278864,42
Family,2,5495,320,0.05823475887170155,tiny_mlp,21,0.9822916666666666,0.8663751898837666,42
Family,3,5500,320,0.05818181818181818,tiny_mlp,42,0.9710002413127413,0.7695843911623259,42
Family,3,5500,320,0.05818181818181818,tiny_mlp,123,0.9696881032818533,0.7514116068613628,42
Family,3,5500,320,0.05818181818181818,tiny_mlp,7,0.9688157577220077,0.7497938851363047,42
Family,3,5500,320,0.05818181818181818,tiny_mlp,13,0.9722683397683398,0.7708469379238228,42
Family,3,5500,320,0.05818181818181818,tiny_mlp,21,0.9684338803088803,0.7507636043691044,42
Family,4,5306,310,0.058424425179042595,tiny_mlp,42,0.9612703065678349,0.7072846209927374,42
Family,4,5306,310,0.058424425179042595,tiny_mlp,123,0.964021539812495,0.744856739073725,42
Family,4,5306,310,0.058424425179042595,tiny_mlp,7,0.9578462770216173,0.684809959642917,42
Family,4,5306,310,0.058424425179042595,tiny_mlp,13,0.9625313153748806,0.7355111139441803,42
Family,4,5306,310,0.058424425179042595,tiny_mlp,21,0.9654120070249746,0.7361979157689101,42
Order,0,5471,320,0.058490221166148784,tiny_mlp,42,0.9891125509609785,0.8746070267978553,42
Order,0,5471,320,0.058490221166148784,tiny_mlp,123,0.9903228741991845,0.9021253043356937,42
